Configuration,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC,PR-AUC,MCC,Kappa,FPR,FNR,Brier Score,Log Loss
Without SMOTE,0.91,0.2237,0.34,0.9393,0.2698,0.8027,0.2136,0.2296,0.224,0.0607,0.66,0.0654,0.2311
With SMOTE,0.9335,0.25,0.18,0.9722,0.2093,0.7951,0.1651,0.1781,0.1755,0.0278,0.82,0.0555,0.1998
Delta,0.0235,0.0263,-0.16,0.0329,-0.0605,-0.0076,-0.0485,-0.0515,-0.0485,-0.0329,0.16,-0.0099,-0.0313
