Model Family,Rank,Recall,ROC-AUC,PR-AUC,MCC,F1,Accuracy,Specificity,Precision,Log Loss
ExtraTrees,1,0.78,0.8370884773662552,0.21098680234949352,0.29263801897825265,0.2698961937716263,0.7935420743639922,0.7942386831275721,0.16317991631799164,0.39529646634480836
Random Forest,2,0.62,0.8212551440329218,0.18186959490292454,0.24985029612139015,0.2551440329218107,0.8228962818003914,0.8333333333333334,0.16062176165803108,0.33235444946461007
XGBoost (XGBoost D),3,0.4,0.8149794238683127,0.1860238421538843,0.24367707004758496,0.27972027972027974,0.8992172211350293,0.9248971193415638,0.21505376344086022,0.24020375286417153
CatBoost,4,0.32,0.8176954732510288,0.1613996692804129,0.20410267818949954,0.24615384615384617,0.9041095890410958,0.934156378600823,0.2,0.2399188060605615
LightGBM,5,0.22,0.8237242798353909,0.1533366575088396,0.1308409017233755,0.17886178861788618,0.901174168297456,0.9362139917695473,0.1506849315068493,0.22144558762261515
