Configuration,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC,PR-AUC,MCC,Kappa,FPR,FNR,Brier Score,Log Loss
Without Boruta,0.9178,0.2424,0.32,0.9486,0.2759,0.8219,0.219,0.2357,0.2332,0.0514,0.68,0.0602,0.2156
With Boruta,0.8992,0.2211,0.42,0.9239,0.2897,0.8144,0.1868,0.2555,0.241,0.0761,0.58,0.072,0.2426
Delta,-0.0186,-0.0213,0.1,-0.0247,0.0138,-0.0075,-0.0322,0.0198,0.0078,0.0247,-0.1,0.0118,0.027
