Analysis,Configuration,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC,PR-AUC,MCC,Kappa,Log Loss
SMOTE Effect,Without SMOTE (A),0.9099804305283757,0.2236842105263158,0.34,0.9393004115226338,0.2698412698412698,0.802716049382716,0.21359270717869647,0.2296346107185517,0.2240451589476118,0.23109904736308398
SMOTE Effect,With SMOTE (B),0.9334637964774951,0.25,0.18,0.9722222222222222,0.20930232558139536,0.7951234567901234,0.16509372275108486,0.17811745636612775,0.1755326721397048,0.19978170023233077
SMOTE Effect,Delta (B - A),0.0235,0.0263,-0.16,0.0329,-0.0605,-0.0076,-0.0485,-0.0515,-0.0485,-0.0313
Boruta Effect,Without Boruta (C),0.9197651663405088,0.24193548387096775,0.3,0.9516460905349794,0.26785714285714285,0.8146090534979423,0.19179166075158915,0.2273928794554991,0.22592921007906597,0.21836415364327405
Boruta Effect,With Boruta (D),0.8992172211350293,0.21505376344086022,0.4,0.9248971193415638,0.27972027972027974,0.8149794238683127,0.1860238421538843,0.24367707004758496,0.23077035499758858,0.24020375286417153
Boruta Effect,Delta (D - C),-0.0205,-0.0269,0.1,-0.0267,0.0119,0.0004,-0.0058,0.0163,0.0048,0.0218
Pipeline Effect,Baseline (A),0.9099804305283757,0.2236842105263158,0.34,0.9393004115226338,0.2698412698412698,0.802716049382716,0.21359270717869647,0.2296346107185517,0.2240451589476118,0.23109904736308398
Pipeline Effect,Final Pipeline (E),0.8933463796477495,0.18947368421052632,0.36,0.9207818930041153,0.2482758620689655,0.8295781893004115,0.16834649832776163,0.20858619536373205,0.19678419496719302,0.23045844570685503
Pipeline Effect,Delta (E - A),-0.0166,-0.0342,0.02,-0.0185,-0.0216,0.0269,-0.0452,-0.021,-0.0273,-0.0006
