iter	Logloss
0	0.6362997574
1	0.5835812944
2	0.5468876784
3	0.5197690631
4	0.4940505784
5	0.4748814791
6	0.4660834417
7	0.4542435143
8	0.4472072756
9	0.4389196633
10	0.4305982164
11	0.4253404102
12	0.4208479872
13	0.4168022642
14	0.4139536542
15	0.4103954862
16	0.4076250945
17	0.4048357397
18	0.4019209586
19	0.398282358
20	0.395532463
21	0.3933105188
22	0.3905880134
23	0.3887339076
24	0.3865799759
25	0.3843981986
26	0.3829350019
27	0.3813690469
28	0.379036438
29	0.377663675
30	0.3754750415
31	0.3728711775
32	0.3712774494
33	0.3697221324
34	0.3683344868
35	0.3663409725
36	0.3646864995
37	0.3625892014
38	0.3614195836
39	0.3593884801
40	0.3581066656
41	0.356315754
42	0.355051466
43	0.3522775971
44	0.3497679806
45	0.3470899491
46	0.345835006
47	0.3450229218
48	0.3438178775
49	0.3426450842
50	0.3416991993
51	0.3391412319
52	0.3383742919
53	0.3371355071
54	0.3349817211
55	0.3335521114
56	0.3312726678
57	0.3306341529
58	0.3290765089
59	0.3266418121
60	0.325846528
61	0.3248965536
62	0.3234649549
63	0.3221630668
64	0.3206600819
65	0.3199550127
66	0.3186093589
67	0.3181759909
68	0.3173826331
69	0.3162477614
70	0.3144341228
71	0.3117466464
72	0.3106816011
73	0.3099472694
74	0.3093012492
75	0.3084503446
76	0.3073093046
77	0.3065016487
78	0.3059991623
79	0.3053059415
80	0.3040801418
81	0.302925274
82	0.301780698
83	0.3004720116
84	0.299681841
85	0.2982161369
86	0.2974001083
87	0.2960988471
88	0.2951786572
89	0.2938319451
90	0.289839378
91	0.2890053037
92	0.2879007559
93	0.2868440085
94	0.2857823219
95	0.2846593554
96	0.2827177624
97	0.2809635176
98	0.2798840856
99	0.278324158
100	0.2778324553
101	0.2771088107
102	0.2763648657
103	0.2749158031
104	0.2744145007
105	0.2738575307
106	0.2732578667
107	0.2716016361
108	0.26866749
109	0.266970087
110	0.2665136819
111	0.2644408986
112	0.2613212741
113	0.2586818967
114	0.2573295422
115	0.2559195615
116	0.2540116776
117	0.2535289022
118	0.2518510273
119	0.250472924
120	0.2489873062
121	0.2469994538
122	0.2462745465
123	0.2454280039
124	0.2446315119
125	0.2437272274
126	0.2424295509
127	0.2409945809
128	0.2391624776
129	0.2377510089
130	0.2374486367
131	0.2369825413
132	0.2354977573
133	0.2348172783
134	0.2342530595
135	0.233084992
136	0.2310249565
137	0.2283536969
138	0.2270353413
139	0.2254866431
140	0.224198604
141	0.2231673472
142	0.2218758056
143	0.2212673111
144	0.2206908011
145	0.2201724551
146	0.2197738735
147	0.2191472312
148	0.2184444149
149	0.2180184896
150	0.2173980945
151	0.2162815265
152	0.2157834957
153	0.213145987
154	0.2125878563
155	0.2117322385
156	0.2110374385
157	0.2103055966
158	0.2098422359
159	0.2095557158
160	0.2092397499
161	0.2069326483
162	0.2047770299
163	0.2033871707
164	0.2015280288
165	0.2004987472
166	0.1997413581
167	0.1991807645
168	0.1986867073
169	0.1980972416
170	0.1965903574
171	0.1960993432
172	0.1957154447
173	0.1946576547
174	0.1926140662
175	0.1919603989
176	0.1905447757
177	0.1901740442
178	0.1894999908
179	0.1869672901
180	0.1865990901
181	0.1861294385
182	0.1850376044
183	0.1843794566
184	0.1842039919
185	0.1838597919
186	0.1826569505
187	0.1811448504
188	0.1790701228
189	0.1784756438
190	0.177168547
191	0.1764628975
192	0.1761180344
193	0.1755247023
194	0.1748479341
195	0.1745058766
196	0.1735529133
197	0.172218416
198	0.1712936843
199	0.1709517691
